from,to
0,1
0,3
0,903
0,1069
2,3
2,904
2,12
2,424
3,425
3,1260
3,1265
4,5
4,739
5,125
5,188
5,10
6,79
6,805
6,86
6,3
6,406
8,9
8,441
10,3
10,125
10,458
10,1310
11,12
11,313
11,3
13,14
13,86
13,1302
13,3
14,1056
14,3
15,16
15,469
16,77
16,9
17,18
18,285
18,115
19,20
19,540
20,188
20,770
20,50
21,22
21,604
21,702
21,3
23,4
24,263
24,612
24,235
24,973
24,3
25,299
25,88
25,3
27,876
27,1060
27,3
27,1166
28,3
28,1136
29,30
29,12
29,3
29,1084
30,193
31,32
31,3
31,339
31,1242
31,1309
32,86
32,890
32,909
32,965
32,3
33,34
33,3
35,3
35,339
35,70
35,780
35,88
36,3
36,1211
38,39
38,3
38,933
38,1005
40,41
40,3
40,1201
40,1241
42,906
42,405
44,9
44,687
45,46
45,275
46,352
46,1112
47,48
47,3
47,775
49,50
49,188
49,770
50,3
50,1200
51,52
52,32
52,305
53,1023
53,1182
53,3
54,55
54,507
54,3
54,997
54,333
55,3
55,734
55,994
56,57
56,526
56,3
58,59
58,3
60,381
60,961
60,3
60,1266
61,62
61,409
62,628
62,1092
62,3
63,64
63,760
63,3
63,1295
65,66
65,9
66,3
66,1097
66,1233
66,1267
67,3
67,1019
67,1040
67,1148
69,70
69,66
69,3
69,88
69,1319
70,3
70,88
70,1050
70,126
71,72
71,73
71,3
71,1181
74,50
74,188
74,770
75,38
75,3
75,88
75,1303
76,3
76,887
76,1013
76,1070
77,78
77,3
77,971
79,3
79,406
79,764
79,86
80,9
80,77
81,3
81,1038
82,3
82,512
82,1258
82,1274
83,3
83,227
83,446
83,942
84,106
84,210
84,3
84,12
84,66
84,1098
85,86
85,9
86,237
86,498
86,3
86,394
86,1204
87,88
87,767
87,70
87,3
87,66
89,90
89,168
89,951
89,88
89,3
90,879
90,3
90,1109
91,169
91,1122
91,3
91,1290
92,93
93,184
93,771
94,3
94,1257
95,554
95,3
95,773
95,485
96,3
96,238
96,395
96,735
96,914
96,88
96,70
96,1245
97,3
97,1029
98,3
98,12
98,1270
98,464
100,77
100,9
101,3
101,389
102,103
102,267
102,456
102,3
103,350
104,105
104,219
104,3
104,1078
107,3
107,977
108,396
108,3
108,1145
108,1218
109,110
109,515
109,3
109,776
111,3
111,1021
112,113
112,3
112,938
112,277
112,1253
114,9
114,531
115,116
115,9
116,819
116,1010
116,3
117,3
117,706
117,839
117,1111
118,3
118,1219
119,3
119,1146
119,237
120,932
120,3
120,558
120,1067
120,12
121,3
121,1121
121,1127
121,1132
122,123
122,452
122,88
122,1047
122,3
124,125
124,3
124,280
124,1198
127,3
127,1209
127,1217
127,1256
128,766
129,663
129,611
129,3
130,131
130,3
130,235
130,1034
130,611
132,133
132,188
133,66
133,577
133,3
133,621
134,125
134,172
134,3
136,137
136,337
136,3
136,409
136,733
136,1305
138,139
138,384
138,293
138,3
140,3
140,601
140,623
140,88
141,142
141,185
141,361
141,3
141,282
141,754
143,573
143,810
143,874
143,3
144,3
144,12
145,852
145,510
145,1196
145,3
146,722
146,732
146,3
146,1213
147,165
147,3
147,1279
148,149
149,300
149,328
150,151
150,258
151,3
151,802
152,277
152,370
152,3
152,1080
153,154
153,77
154,226
154,687
155,32
155,493
156,157
156,3
156,381
156,1317
158,159
158,818
158,1099
158,3
160,17
160,3
160,1065
160,88
161,375
161,752
161,979
161,3
162,528
162,658
162,3
163,12
163,3
163,261
164,3
164,521
164,1082
164,1168
166,9
166,66
167,3
167,1079
170,171
170,3
170,12
170,66
173,926
175,176
175,3
175,774
175,857
177,178
177,795
177,871
177,3
179,943
179,3
179,1083
180,181
180,882
181,686
181,820
181,3
182,3
182,1269
183,3
183,1259
184,185
184,777
184,3
184,968
186,3
186,472
186,88
186,285
187,188
187,353
189,12
189,38
189,3
189,1095
189,1232
190,88
190,704
190,285
190,3
191,192
191,3
193,32
193,828
194,9
194,86
195,333
195,320
195,3
196,197
196,3
196,1289
199,200
199,317
200,986
200,81
201,3
201,487
201,1055
201,1128
202,203
202,1119
202,1156
202,3
204,3
204,181
204,12
205,206
205,3
205,301
205,184
205,32
207,3
207,1159
207,1314
208,3
208,1227
209,703
209,125
209,1177
209,3
211,419
211,1075
211,3
212,213
212,3
212,1276
212,1322
214,6
214,86
215,216
215,872
216,549
216,1268
216,3
217,3
217,959
218,3
218,1162
220,221
220,343
221,9
221,386
222,3
222,1106
222,1120
222,1144
223,3
223,254
224,877
224,3
224,1116
225,188
225,314
225,894
226,622
226,531
228,229
228,3
228,768
229,3
229,423
230,721
230,1017
230,3
230,1254
231,957
231,1044
231,1076
231,3
233,3
233,1018
233,1243
234,32
234,9
235,606
235,916
235,1037
235,3
236,235
236,136
239,240
239,3
239,32
239,1143
241,473
242,291
242,3
243,244
243,3
243,1247
245,32
245,1026
245,301
245,184
245,3
246,1229
246,3
247,248
247,50
248,32
248,858
249,3
249,505
249,728
249,1053
250,251
250,474
251,489
251,449
252,253
252,3
255,256
255,910
256,707
256,941
256,3
257,3
257,1124
260,380
260,3
260,541
261,262
261,269
261,667
261,852
261,3
261,86
261,32
264,32
264,313
264,3
265,266
265,503
265,1115
265,3
268,269
268,870
269,3
269,944
269,698
269,1006
270,12
270,703
270,969
270,3
271,272
271,711
272,935
272,912
273,274
273,3
275,229
275,188
275,228
276,268
278,279
278,470
278,3
278,125
279,985
279,3
280,281
280,3
280,1220
282,185
282,340
282,3
282,1107
283,3
283,740
284,125
284,313
284,3
285,560
285,3
