from,to
0,68
2,99
2,26
3,1199
5,232
6,7
10,26
10,99
11,26
11,99
13,99
13,26
14,26
17,68
20,232
21,68
23,68
24,7
25,26
27,68
28,68
29,26
29,99
30,68
31,7
32,68
33,68
35,669
35,26
35,7
36,37
36,211
36,198
38,68
40,68
42,43
47,68
49,232
50,68
51,68
53,37
53,564
53,198
54,7
55,68
56,7
58,183
58,198
58,37
60,68
61,232
62,68
63,68
66,68
67,68
68,68
69,99
69,7
69,26
70,7
70,669
70,26
71,68
74,232
75,26
76,68
77,198
77,47
77,37
79,7
81,198
81,37
81,211
82,68
83,68
84,26
84,99
86,68
87,669
87,26
87,7
87,99
89,26
90,68
91,68
92,68
94,68
95,68
96,669
96,7
96,26
97,37
97,211
97,198
98,99
98,26
101,7
102,7
103,68
104,68
107,37
107,211
107,198
108,68
109,68
111,37
111,183
111,198
112,68
116,68
117,68
118,68
119,68
120,99
120,26
121,68
122,26
124,99
124,26
126,7
126,669
127,68
128,68
129,99
129,7
130,7
132,232
133,7
134,26
134,99
135,7
136,7
138,26
138,99
140,99
140,26
141,7
143,68
144,26
144,99
145,68
146,68
147,68
148,68
150,232
151,26
151,99
152,68
156,68
158,68
160,99
160,26
161,68
162,68
163,26
164,68
167,68
170,26
172,68
173,174
175,233
175,37
175,198
177,68
179,37
179,233
179,198
181,68
182,183
182,198
182,37
183,68
184,68
186,26
187,232
189,26
189,99
190,26
191,68
195,7
196,68
198,68
201,68
202,68
204,26
204,99
205,7
207,68
208,68
209,26
209,99
211,68
212,68
214,232
216,233
216,37
216,198
217,37
217,211
217,198
218,68
222,68
223,37
223,211
223,198
224,37
224,198
224,304
225,232
228,7
229,68
230,68
231,68
233,68
235,68
236,232
239,7
241,68
242,37
242,211
242,198
243,37
243,198
243,304
245,7
246,37
246,183
246,198
249,68
252,564
252,198
252,37
256,564
256,198
256,37
257,68
258,259
260,7
261,68
264,7
265,68
269,68
270,26
270,99
273,564
273,198
273,37
275,232
276,68
278,26
278,99
279,68
280,68
282,68
283,198
283,37
283,211
284,26
284,99
285,68
286,232
287,37
287,211
287,198
288,232
289,68
290,7
292,26
292,99
294,232
295,7
296,68
298,68
301,7
304,68
306,68
308,26
310,232
311,26
312,68
313,68
314,68
315,259
316,68
317,37
317,211
317,198
318,232
319,7
319,26
320,68
323,68
324,68
326,7
326,99
327,68
328,232
329,26
330,26
331,68
333,68
337,68
339,68
341,68
343,68
345,99
345,7
347,232
348,198
348,47
348,37
351,68
352,232
353,26
354,259
355,68
356,198
356,37
356,211
357,68
359,7
360,7
361,7
362,26
363,68
364,68
365,68
367,68
368,68
371,68
376,68
378,68
384,68
385,7
386,68
388,7
389,68
390,7
392,68
393,7
395,68
397,68
399,68
401,7
403,198
403,37
403,211
404,232
405,43
406,68
407,7
409,7
411,68
412,7
414,26
414,99
415,68
416,68
417,7
420,68
421,233
421,198
421,37
424,68
429,232
430,37
430,211
430,198
432,68
433,232
434,26
435,68
436,68
440,26
441,68
442,37
442,211
442,198
443,232
444,26
444,99
445,26
447,68
448,68
449,37
449,211
449,198
450,68
452,68
453,68
455,68
456,68
458,68
459,26
461,7
462,26
462,99
464,68
465,68
467,68
469,198
469,47
469,37
471,99
471,26
474,198
474,37
474,211
477,68
479,68
480,37
480,233
480,198
481,232
482,232
483,198
483,37
483,304
486,68
488,68
490,232
491,7
492,26
494,68
495,7
500,26
501,232
504,26
508,26
510,68
511,7
514,232
516,68
518,68
519,7
520,7
520,26
520,99
522,232
523,68
524,68
526,68
527,7
530,232
531,198
531,47
531,37
532,26
533,26
533,99
534,37
534,211
534,198
535,68
537,26
541,68
545,68
546,68
547,7
547,99
548,198
548,37
548,304
550,198
550,37
550,304
553,232
558,68
563,232
564,68
565,68
567,232
569,7
571,99
571,26
572,26
572,99
575,68
578,26
579,68
581,7
584,68
585,26
588,198
588,37
588,211
590,68
592,198
592,37
592,211
593,232
594,183
594,37
594,198
595,68
596,26
596,7
597,68
599,174
600,7
600,99
601,68
603,232
607,26
607,99
608,26
608,7
609,68
610,26
611,68
612,68
613,232
614,7
615,68
617,68
619,68
621,68
626,198
626,37
626,211
629,68
630,68
632,68
633,233
633,198
633,37
635,7
636,232
637,232
640,26
640,99
641,7
642,183
642,198
642,37
643,232
644,26
645,68
647,68
648,7
650,68
653,232
654,26
660,26
660,99
662,174
666,7
670,7
671,99
671,26
673,198
673,37
673,211
676,232
677,174
680,99
680,26
682,68
683,183
683,198
683,37
684,68
687,37
687,198
687,47
689,68
690,68
691,26
691,99
692,68
694,7
697,232
698,68
699,68
701,174
703,68
709,68
711,198
711,37
711,211
713,43
714,43
717,7
726,68
729,99
729,7
731,232
733,68
738,68
743,68
744,68
746,68
747,7
749,68
753,259
754,68
757,99
757,26
758,68
768,68
770,7
772,174
775,68
781,68
782,232
784,37
784,198
784,304
786,68
787,26
790,68
793,183
793,198
793,37
796,7
798,68
799,26
802,68
806,7
808,232
813,7
814,68
815,68
825,68
827,7
827,99
827,1195
831,198
831,37
831,211
834,198
834,37
834,211
838,26
840,68
842,68
846,68
850,174
851,232
855,233
855,37
855,198
856,198
856,37
856,211
863,26
865,68
866,174
873,43
885,232
886,26
886,99
894,7
896,174
900,37
900,198
900,304
905,99
905,26
908,198
908,37
908,211
912,198
912,37
912,211
915,68
920,183
920,198
920,37
929,198
929,37
929,211
939,232
945,68
947,174
950,174
964,26
966,7
980,7
983,198
983,37
983,211
990,26
992,26
992,99
993,7
995,7
1002,7
1004,7
1008,198
1008,37
1008,211
1011,68
1014,7
1020,68
1032,174
1033,7
1045,7
1048,68
1068,26
1073,68
1085,259
1094,174
1150,68
1183,259
1313,174
