name:START_ID :TYPE name:END_ID
0 seeAlso 1
0 type 68
0 isDefinedBy 3
0 comment 903
0 label 1069
0 subClassOf 162
2 isDefinedBy 3
2 type 99
2 comment 904
2 range 12
2 domain 424
2 type 26
3 comment 425
3 type 1199
3 versionInfo 1260
3 label 1265
4 first 5
4 rest 739
5 type 232
5 onDataRange 125
5 qualifiedCardinality 188
5 onProperty 10
6 type 7
6 inverseOf 79
6 comment 805
6 range 86
6 isDefinedBy 3
6 domain 406
8 rest 9
8 first 441
10 isDefinedBy 3
10 range 125
10 type 26
10 type 99
10 domain 458
10 comment 1310
11 range 12
11 domain 313
11 isDefinedBy 3
11 type 26
11 type 99
13 subPropertyOf 14
13 domain 86
13 type 99
13 type 26
13 range 1302
13 isDefinedBy 3
14 comment 1056
14 type 26
14 isDefinedBy 3
15 rest 16
15 first 469
16 first 77
16 rest 9
17 unionOf 18
17 type 68
18 first 285
18 rest 115
19 first 20
19 rest 540
20 maxQualifiedCardinality 188
20 type 232
20 onProperty 770
20 onClass 50
21 comment 22
21 label 604
21 subClassOf 448
21 seeAlso 702
21 type 68
21 isDefinedBy 3
23 intersectionOf 4
23 type 68
24 type 7
24 label 263
24 domain 612
24 range 235
24 comment 973
24 isDefinedBy 3
25 type 26
25 comment 299
25 range 88
25 isDefinedBy 3
27 subClassOf 28
27 comment 876
27 seeAlso 1060
27 isDefinedBy 3
27 label 1166
27 type 68
28 isDefinedBy 3
28 subClassOf 364
28 type 68
28 label 1136
29 domain 30
29 range 12
29 isDefinedBy 3
29 type 26
29 comment 1084
29 type 99
30 unionOf 193
30 type 68
31 domain 32
31 isDefinedBy 3
31 type 7
31 range 339
31 label 1242
31 comment 1309
32 type 68
32 disjointWith 86
32 label 890
32 subClassOf 653
32 comment 909
32 seeAlso 965
32 subClassOf 731
32 subClassOf 198
32 isDefinedBy 3
33 label 34
33 isDefinedBy 3
33 type 68
33 subClassOf 121
35 isDefinedBy 3
35 domain 339
35 subPropertyOf 70
35 label 780
35 type 669
35 type 26
35 type 7
35 range 88
36 type 37
36 type 211
36 type 198
36 isDefinedBy 3
36 label 1211
38 label 39
38 isDefinedBy 3
38 seeAlso 933
38 comment 1005
38 subClassOf 68
38 type 68
40 comment 41
40 type 68
40 isDefinedBy 3
40 subClassOf 298
40 seeAlso 1201
40 label 1241
42 type 43
42 first 906
42 rest 405
44 rest 9
44 first 687
45 rest 46
45 first 275
46 first 352
46 rest 1112
47 label 48
47 isDefinedBy 3
47 equivalentClass 775
47 type 68
49 onClass 50
49 maxQualifiedCardinality 188
49 type 232
49 onProperty 770
50 subClassOf 523
50 isDefinedBy 3
50 label 1200
50 type 68
51 unionOf 52
51 type 68
52 first 32
52 rest 305
53 type 37
